dist_code,state_code,state_name,female_judge,district_name
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,1 female,Jamnagar
